Município,UF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Ano,ARRECADAÇÃO,Arrecadação
AGUA DOCE DO MARANHAO,MA,30873.36,26560.56,39750.89,42816.01,33091.26,45237.33,87967.33,253326.32,437111.8,532597.25,541799.52,603325.24,866374.96,2017,,
AGUA DOCE DO NORTE,ES,540514.55,824386.11,1114101.07,1021891.25,799774.96,1172727.35,1458295.71,2853308.86,4031835.4,5120221.31,5499978.9,5563926.49,5394793.04,2017,,
AGUA FRIA,BA,140787.03,103003.71,131043.64,141376.74,149825.14,386245.14,461723.05,722844.39,677297.79,738291.33,763124.69,859508.49,1318907.53,2017,,
AGUA FRIA DE GOIAS,GO,157532.09,173396.25,156686.74,274159.42,361203.61,408740.82,410101.66,672127.39,769693.3,902754.04,1299400.26,2510838.3,1724312.54,2017,,
AGUA LIMPA,GO,83214.12,79344.5,81267.87,134888.15,170062.66,170595.42,185049.52,266295.77,238187.22,488595.55,487055.07,490306.54,505047.16,2017,,
AGUA NOVA,RN,16281.53,18895.76,19945.08,29214.44,27063.56,47257.59,74237.21,212860.17,289490.35,304580.8,251607.18,289625.33,322282.51,2017,,
AGUA PRETA,PE,205181.29,237896.26,295235.51,339671.11,286942.46,429919.43,555633.47,931453.54,1135398.01,1594218.02,1748679.23,1712773.12,2212793.3,2017,,
AGUA SANTA,RS,285021.27,248817.58,262771.54,372073.18,632361.27,546004.21,639385.8,1045946.33,1706866.27,1540694.69,1582410.33,1647113.1,1951673.02,2017,,
AGUAI,SP,6630288.67,7888339.51,9533246.65,13020575.69,11122371.32,15204129.33,16760245.54,19476970.76,22858961.14,27115660.11,27120804.26,28688743.25,41464476.47,2017,,
AGUANIL,MG,137594.81,159478.18,163277.65,178453.63,191031.39,225723.7,237018.75,474921.61,679335.12,746414.57,888593.63,1028410.65,1228506.31,2017,,
AGUAS BELAS,PE,2925161.84,4172177.86,1430941.99,2019265.08,1673602.06,1491478.24,5326426.5,6071310.84,7435039.43,8422371.54,7001197.12,3682569.95,4873694.88,2017,,
AGUAS DA PRATA,SP,600455.85,656468.75,-1087379.62,917294.04,1028839.78,1439417.06,2254343.86,2430993.62,2858754.28,3270286.31,3218638.78,3689199.54,3497690.07,2017,,
AGUAS DE CHAPECO,SC,250359.92,261067.19,380117.95,430744.97,432126.53,628244.93,690242.6,1024901.78,1174901.63,1405012.51,1644868.65,1701190.9,1487850.87,2017,,
AGUAS DE LINDOIA,SP,4358261.85,4737695.53,5443068.01,6440322.9,6850379.76,8464373.79,10061365.97,15465085.39,18055955.46,21553660.97,23905809.02,25791949.58,26452306.52,2017,,
AGUAS DE SANTA BARBARA,SP,650229.5,669266.98,777011.79,1197697.93,1664187.4,2495112.41,7043249.25,2913239.31,3497228.69,4314765.19,4660535.01,5205020.08,4587141.19,2017,,
AGUAS DE SAO PEDRO,SP,905161.5,1120007.84,1327864.27,1461450.02,1476355.83,1860727.56,1873567.54,2948625.93,3302772.09,4060187.75,4746618.56,4874475.88,5402818.17,2017,,
AGUAS FORMOSAS,MG,965016.38,902526.75,907636.41,1135955.75,1303590.78,1576348.06,2164418.54,3142175.31,3405706.06,3482876.04,4226043.84,4274712.03,5141727.27,2017,,
AGUAS FRIAS,SC,382662.08,251594.79,490608.22,1922001.37,597471.13,1683758.4,2055808.37,1965652.0,2584519.77,4587160.78,6636509.15,5123965.23,5416687.48,2017,,
AGUAS LINDAS DE GOIAS,GO,1399436.62,1578993.17,2253384.84,2836650.2,3521160.79,5938328.42,8551112.04,14663389.38,17334854.89,22146804.51,27206712.52,26918008.6,39315115.27,2017,,
AGUAS MORNAS,SC,383170.67,452401.51,615907.25,813551.4,1042064.99,3207893.79,4630009.41,6404090.4,4248954.98,3815810.5,3719090.86,5188136.55,5575276.86,2017,,
AGUAS VERMELHAS,MG,325244.76,296924.81,429485.2,365459.64,696732.39,528267.31,804257.87,1100162.38,1648497.2,1965592.58,1584832.22,1723630.42,2771589.25,2017,,
AGUDO,RS,12418041.31,15004129.95,18700780.53,19917875.15,54360295.66,16461642.28,24462492.64,31867010.89,28416131.69,37415877.18,42804874.74,35703994.55,30511980.02,2017,,
AGUDOS,SP,138345260.91,139366480.04,148298264.78,134173929.09,144268505.76,140469497.32,211558710.12,206187201.9,213710410.31,220016254.84,144859544.66,137679423.57,130011064.57,2017,,
AGUDOS DO SUL,PR,284494.88,299584.14,384742.09,541748.63,438336.81,401339.45,573012.39,1258581.5,1523351.75,1909987.55,2316809.48,2291018.81,2689842.62,2017,,
AGUIA BRANCA,ES,597508.48,545451.51,750282.0,867215.51,766039.79,891621.77,1161182.12,2263806.38,2697448.52,2873420.38,3347445.01,3780039.28,3574970.28,2017,,
AGUIAR,PB,45409.06,61320.37,76564.2,93677.53,68851.67,85945.06,125578.41,419563.5,469646.35,520751.61,543511.66,569459.42,861960.03,2017,,
AGUIARNOPOLIS,TO,368551.47,913165.56,2144681.24,11618067.57,1460686.36,327999.12,320490.04,1024227.96,1900758.73,8185758.3,14297784.49,7940796.69,6154699.89,2017,,
