Município,UF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Ano,ARRECADAÇÃO,Arrecadação
ANTAS,BA,,,,,,,,,,,,,,2018,1930724.47,
ANTONINA,PR,,,,,,,,,,,,,,2018,11568782.59,
ANTONINA DO NORTE,CE,,,,,,,,,,,,,,2018,1036698.09,
ANTONIO ALMEIDA,PI,,,,,,,,,,,,,,2018,1748154.81,
ANTONIO CARDOSO,BA,,,,,,,,,,,,,,2018,335778.81,
ANTONIO CARLOS,MG,,,,,,,,,,,,,,2018,3538236.11,
ANTONIO CARLOS,SC,,,,,,,,,,,,,,2018,15196004.63,
ANTONIO DIAS,MG,,,,,,,,,,,,,,2018,6793753.33,
ANTONIO GONCALVES,BA,,,,,,,,,,,,,,2018,897261.1,
ANTONIO JOAO,MS,,,,,,,,,,,,,,2018,14236524.71,
ANTONIO MARTINS,RN,,,,,,,,,,,,,,2018,856622.95,
ANTONIO OLINTO,PR,,,,,,,,,,,,,,2018,1565113.02,
ANTONIO PRADO,RS,,,,,,,,,,,,,,2018,67396567.82,
ANTONIO PRADO DE MINAS,MG,,,,,,,,,,,,,,2018,337747.05,
APARECIDA,PB,,,,,,,,,,,,,,2018,2237903.03,
APARECIDA,SP,,,,,,,,,,,,,,2018,40283218.6,
APARECIDA D'OESTE,SP,,,,,,,,,,,,,,2018,1110133.19,
APARECIDA DE GOIANIA,GO,,,,,,,,,,,,,,2018,797968097.13,
APARECIDA DO RIO DOCE,GO,,,,,,,,,,,,,,2018,1825391.0,
APARECIDA DO RIO NEGRO,TO,,,,,,,,,,,,,,2018,1650746.18,
APARECIDA DO TABOADO,MS,,,,,,,,,,,,,,2018,60428158.99,
APERIBE,RJ,,,,,,,,,,,,,,2018,5602552.75,
APIACA,ES,,,,,,,,,,,,,,2018,2210991.8,
APIACAS,MT,,,,,,,,,,,,,,2018,3320907.81,
APIAI,SP,,,,,,,,,,,,,,2018,12743581.9,
APICUM-ACU,MA,,,,,,,,,,,,,,2018,1143991.74,
APIUNA,SC,,,,,,,,,,,,,,2018,34425183.94,
APODI,RN,,,,,,,,,,,,,,2018,9409143.98,
APORA,BA,,,,,,,,,,,,,,2018,1356481.95,
APORE,GO,,,,,,,,,,,,,,2018,10682177.2,
APUAREMA,BA,,,,,,,,,,,,,,2018,474364.39,
APUCARANA,PR,,,,,,,,,,,,,,2018,217971947.42,
APUI,AM,,,,,,,,,,,,,,2018,2756637.08,
APUIARES,CE,,,,,,,,,,,,,,2018,1706928.89,
AQUIDABA,SE,,,,,,,,,,,,,,2018,3596391.53,
AQUIDAUANA,MS,,,,,,,,,,,,,,2018,32102622.18,
AQUIRAZ,CE,,,,,,,,,,,,,,2018,139011756.31,
ARABUTA,SC,,,,,,,,,,,,,,2018,3367440.88,
ARACAGI,PB,,,,,,,,,,,,,,2018,1878586.53,
ARACAI,MG,,,,,,,,,,,,,,2018,1915172.05,
ARACAJU,SE,,,,,,,,,,,,,,2018,1781680210.85,
ARACARIGUAMA,SP,,,,,,,,,,,,,,2018,136697897.83,
ARACAS,BA,,,,,,,,,,,,,,2018,1183837.83,
ARACATI,CE,,,,,,,,,,,,,,2018,37309794.89,
ARACATU,BA,,,,,,,,,,,,,,2018,1186950.41,
ARACATUBA,SP,,,,,,,,,,,,,,2018,472134201.24,
ARACI,BA,,,,,,,,,,,,,,2018,4328292.07,
ARACITABA,MG,,,,,,,,,,,,,,2018,281626.66,
ARACOIABA,CE,,,,,,,,,,,,,,2018,2273128.44,
ARACOIABA,PE,,,,,,,,,,,,,,2018,1427142.66,
ARACOIABA DA SERRA,SP,,,,,,,,,,,,,,2018,47102102.99,
ARACRUZ,ES,,,,,,,,,,,,,,2018,273773851.24,
ARACU,GO,,,,,,,,,,,,,,2018,1250793.18,
ARACUAI,MG,,,,,,,,,,,,,,2018,12458575.23,
ARAGARCAS,GO,,,,,,,,,,,,,,2018,6689958.54,
ARAGOIANIA,GO,,,,,,,,,,,,,,2018,4687894.12,
ARAGOMINAS,TO,,,,,,,,,,,,,,2018,433074.36,
ARAGUACEMA,TO,,,,,,,,,,,,,,2018,1626395.84,
ARAGUACU,TO,,,,,,,,,,,,,,2018,3772556.36,
ARAGUAIANA,MT,,,,,,,,,,,,,,2018,2636705.28,
ARAGUAINA,TO,,,,,,,,,,,,,,2018,212105252.87,
ARAGUAINHA,MT,,,,,,,,,,,,,,2018,324469.52,
ARAGUANA,MA,,,,,,,,,,,,,,2018,504004.79,
ARAGUANA,TO,,,,,,,,,,,,,,2018,880212.3,
ARAGUAPAZ,GO,,,,,,,,,,,,,,2018,2284753.53,
ARAGUARI,MG,,,,,,,,,,,,,,2018,178180382.69,
ARAGUATINS,TO,,,,,,,,,,,,,,2018,4472130.18,
ARAIOSES,MA,,,,,,,,,,,,,,2018,2732804.43,
ARAL MOREIRA,MS,,,,,,,,,,,,,,2018,5846237.54,
ARAMARI,BA,,,,,,,,,,,,,,2018,2114670.8,
ARAMBARE,RS,,,,,,,,,,,,,,2018,2902783.78,
ARAME,MA,,,,,,,,,,,,,,2018,2577728.68,
ARAMINA,SP,,,,,,,,,,,,,,2018,7418757.92,
ARANDU,SP,,,,,,,,,,,,,,2018,2556278.22,
ARANTINA,MG,,,,,,,,,,,,,,2018,617141.96,
ARAPEI,SP,,,,,,,,,,,,,,2018,865623.56,
ARAPIRACA,AL,,,,,,,,,,,,,,2018,180582745.84,
ARAPOEMA,TO,,,,,,,,,,,,,,2018,2062651.97,
ARAPONGA,MG,,,,,,,,,,,,,,2018,1196648.85,
ARAPONGAS,PR,,,,,,,,,,,,,,2018,419857751.12,
ARAPORA,MG,,,,,,,,,,,,,,2018,9147267.75,
ARAPOTI,PR,,,,,,,,,,,,,,2018,94721052.19,
ARAPUA,MG,,,,,,,,,,,,,,2018,708568.91,
ARAPUA,PR,,,,,,,,,,,,,,2018,963249.12,
ARAPUTANGA,MT,,,,,,,,,,,,,,2018,21669953.32,
ARAQUARI,SC,,,,,,,,,,,,,,2018,352508652.18,
ARARA,PB,,,,,,,,,,,,,,2018,2101993.5,
ARARANGUA,SC,,,,,,,,,,,,,,2018,84749772.04,
ARARAQUARA,SP,,,,,,,,,,,,,,2018,1080851884.68,
ARARAS,SP,,,,,,,,,,,,,,2018,418527689.99,
ARARENDA,CE,,,,,,,,,,,,,,2018,928268.76,
ARARI,MA,,,,,,,,,,,,,,2018,3177794.75,
ARARICA,RS,,,,,,,,,,,,,,2018,15108381.17,
ARARIPE,CE,,,,,,,,,,,,,,2018,2742863.66,
ARARIPINA,PE,,,,,,,,,,,,,,2018,25338351.6,
ARARUAMA,RJ,,,,,,,,,,,,,,2018,138570054.09,
ARARUNA,PB,,,,,,,,,,,,,,2018,3476233.36,
ARARUNA,PR,,,,,,,,,,,,,,2018,37408548.37,
ARATACA,BA,,,,,,,,,,,,,,2018,1236424.9,
ARATIBA,RS,,,,,,,,,,,,,,2018,8016697.35,
ARATUBA,CE,,,,,,,,,,,,,,2018,1427355.16,
ARATUIPE,BA,,,,,,,,,,,,,,2018,522966.9,
ARAUA,SE,,,,,,,,,,,,,,2018,750841.0,
ARAUCARIA,PR,,,,,,,,,,,,,,2018,897276494.84,
ARAUJOS,MG,,,,,,,,,,,,,,2018,9288467.74,
ARAXA,MG,,,,,,,,,,,,,,2018,1563126429.36,
ARCEBURGO,MG,,,,,,,,,,,,,,2018,16363566.26,
ARCO-IRIS,SP,,,,,,,,,,,,,,2018,633497.03,
ARCOS,MG,,,,,,,,,,,,,,2018,76573670.19,
ARCOVERDE,PE,,,,,,,,,,,,,,2018,39286585.14,
AREADO,MG,,,,,,,,,,,,,,2018,5935000.7,
AREAL,RJ,,,,,,,,,,,,,,2018,44915226.14,
AREALVA,SP,,,,,,,,,,,,,,2018,7405637.84,
AREIA,PB,,,,,,,,,,,,,,2018,10712688.84,
AREIA BRANCA,RN,,,,,,,,,,,,,,2018,48344716.49,
AREIA BRANCA,SE,,,,,,,,,,,,,,2018,1973456.93,
AREIA DE BARAUNAS,PB,,,,,,,,,,,,,,2018,84447.67,
AREIAL,PB,,,,,,,,,,,,,,2018,716432.25,
AREIAS,SP,,,,,,,,,,,,,,2018,816046.27,
AREIOPOLIS,SP,,,,,,,,,,,,,,2018,4464964.68,
ARENAPOLIS,MT,,,,,,,,,,,,,,2018,6230278.12,
ARENOPOLIS,GO,,,,,,,,,,,,,,2018,1919638.86,
ARES,RN,,,,,,,,,,,,,,2018,4170326.78,
ARGIRITA,MG,,,,,,,,,,,,,,2018,1012206.83,
ARICANDUVA,MG,,,,,,,,,,,,,,2018,388428.67,
ARINOS,MG,,,,,,,,,,,,,,2018,4485899.74,
ARIPUANA,MT,,,,,,,,,,,,,,2018,59210001.58,
ARIQUEMES,RO,,,,,,,,,,,,,,2018,105722194.51,
ARIRANHA,SP,,,,,,,,,,,,,,2018,144926009.77,
ARIRANHA DO IVAI,PR,,,,,,,,,,,,,,2018,669287.5,
ARMACAO DOS BUZIOS,RJ,,,,,,,,,,,,,,2018,57770380.24,
ARMAZEM,SC,,,,,,,,,,,,,,2018,11221321.47,
ARNEIROZ,CE,,,,,,,,,,,,,,2018,741606.74,
AROAZES,PI,,,,,,,,,,,,,,2018,635104.13,
AROEIRAS,PB,,,,,,,,,,,,,,2018,1498447.37,
AROEIRAS DO ITAIM,PI,,,,,,,,,,,,,,2018,56017.98,
ARRAIAL,PI,,,,,,,,,,,,,,2018,342547.61,
ARRAIAL DO CABO,RJ,,,,,,,,,,,,,,2018,17779200.17,
ARRAIAS,TO,,,,,,,,,,,,,,2018,5405020.01,
ARROIO DO MEIO,RS,,,,,,,,,,,,,,2018,91897331.2,
ARROIO DO PADRE,RS,,,,,,,,,,,,,,2018,1287455.2,
ARROIO DO SAL,RS,,,,,,,,,,,,,,2018,8307979.82,
ARROIO DO TIGRE,RS,,,,,,,,,,,,,,2018,6983778.12,
ARROIO DOS RATOS,RS,,,,,,,,,,,,,,2018,6547735.56,
ARROIO GRANDE,RS,,,,,,,,,,,,,,2018,8232892.3,
ARROIO TRINTA,SC,,,,,,,,,,,,,,2018,5611680.0,
ARTUR NOGUEIRA,SP,,,,,,,,,,,,,,2018,82301890.52,
ARUANA,GO,,,,,,,,,,,,,,2018,4376343.9,
ARUJA,SP,,,,,,,,,,,,,,2018,318052458.46,
ARVOREDO,SC,,,,,,,,,,,,,,2018,2014785.22,
ARVOREZINHA,RS,,,,,,,,,,,,,,2018,12960551.81,
ASCURRA,SC,,,,,,,,,,,,,,2018,14495083.16,
ASPASIA,SP,,,,,,,,,,,,,,2018,395668.11,
ASSAI,PR,,,,,,,,,,,,,,2018,7705264.46,
ASSARE,CE,,,,,,,,,,,,,,2018,2816328.0,
ASSIS,SP,,,,,,,,,,,,,,2018,233050850.98,
ASSIS BRASIL,AC,,,,,,,,,,,,,,2018,4575234.65,
ASSIS CHATEAUBRIAND,PR,,,,,,,,,,,,,,2018,41070145.12,
ASSU,RN,,,,,,,,,,,,,,2018,22242163.1,
ASSUNCAO,PB,,,,,,,,,,,,,,2018,566206.77,
ASSUNCAO DO PIAUI,PI,,,,,,,,,,,,,,2018,319442.72,
ASTOLFO DUTRA,MG,,,,,,,,,,,,,,2018,19540013.06,
ASTORGA,PR,,,,,,,,,,,,,,2018,28783234.83,
ATALAIA,AL,,,,,,,,,,,,,,2018,5224873.62,
ATALAIA,PR,,,,,,,,,,,,,,2018,2026404.25,
ATALAIA DO NORTE,AM,,,,,,,,,,,,,,2018,1523857.68,
ATALANTA,SC,,,,,,,,,,,,,,2018,12134743.44,
ATALEIA,MG,,,,,,,,,,,,,,2018,1833770.61,
ATIBAIA,SP,,,,,,,,,,,,,,2018,675324903.42,
ATILIO VIVACQUA,ES,,,,,,,,,,,,,,2018,24698141.37,
AUGUSTINOPOLIS,TO,,,,,,,,,,,,,,2018,3658888.6,
AUGUSTO CORREA,PA,,,,,,,,,,,,,,2018,3213614.33,
AUGUSTO DE LIMA,MG,,,,,,,,,,,,,,2018,1039549.48,
AUGUSTO PESTANA,RS,,,,,,,,,,,,,,2018,8865799.73,
AUREA,RS,,,,,,,,,,,,,,2018,3168586.51,
AURELINO LEAL,BA,,,,,,,,,,,,,,2018,1978238.1,
AURIFLAMA,SP,,,,,,,,,,,,,,2018,14015308.93,
AURILANDIA,GO,,,,,,,,,,,,,,2018,925653.98,
AURORA,CE,,,,,,,,,,,,,,2018,4765035.01,
AURORA,SC,,,,,,,,,,,,,,2018,4728488.74,
AURORA DO PARA,PA,,,,,,,,,,,,,,2018,1623982.6,
AURORA DO TOCANTINS,TO,,,,,,,,,,,,,,2018,307031.7,
AUTAZES,AM,,,,,,,,,,,,,,2018,2907619.44,
AVAI,SP,,,,,,,,,,,,,,2018,6051479.83,
AVANHANDAVA,SP,,,,,,,,,,,,,,2018,7864722.74,
AVARE,SP,,,,,,,,,,,,,,2018,124815697.67,
AVEIRO,PA,,,,,,,,,,,,,,2018,710657.66,
AVELINO LOPES,PI,,,,,,,,,,,,,,2018,1244201.95,
AVELINOPOLIS,GO,,,,,,,,,,,,,,2018,939379.95,
AXIXA,MA,,,,,,,,,,,,,,2018,1323330.89,
AXIXA DO TOCANTINS,TO,,,,,,,,,,,,,,2018,971993.43,
BABACULANDIA,TO,,,,,,,,,,,,,,2018,621885.18,
BACABAL,MA,,,,,,,,,,,,,,2018,44180081.93,
BACABEIRA,MA,,,,,,,,,,,,,,2018,9457712.87,
BACURI,MA,,,,,,,,,,,,,,2018,1073299.93,
BACURITUBA,MA,,,,,,,,,,,,,,2018,276647.66,
BADY BASSITT,SP,,,,,,,,,,,,,,2018,27099185.62,
BAEPENDI,MG,,,,,,,,,,,,,,2018,11584181.33,
BAGE,RS,,,,,,,,,,,,,,2018,253855354.4,
BAGRE,PA,,,,,,,,,,,,,,2018,425680.04,
BAIA DA TRAICAO,PB,,,,,,,,,,,,,,2018,814157.78,
BAIA FORMOSA,RN,,,,,,,,,,,,,,2018,1743059.08,
BAIANOPOLIS,BA,,,,,,,,,,,,,,2018,1764498.88,
BAIAO,PA,,,,,,,,,,,,,,2018,1790007.84,
BAIXA GRANDE,BA,,,,,,,,,,,,,,2018,2604995.46,
BAIXA GRANDE DO RIBEIRO,PI,,,,,,,,,,,,,,2018,16958493.67,
BAIXIO,CE,,,,,,,,,,,,,,2018,449454.37,
BAIXO GUANDU,ES,,,,,,,,,,,,,,2018,24876581.72,
BALBINOS,SP,,,,,,,,,,,,,,2018,895610.44,
BALDIM,MG,,,,,,,,,,,,,,2018,6458008.45,
BALIZA,GO,,,,,,,,,,,,,,2018,529133.04,
BALNEARIO ARROIO DO SILVA,SC,,,,,,,,,,,,,,2018,4254577.93,
BALNEARIO BARRA DO SUL,SC,,,,,,,,,,,,,,2018,6701064.42,
BALNEARIO CAMBORIU,SC,,,,,,,,,,,,,,2018,490535772.11,
BALNEARIO DE PICARRAS,SC,,,,,,,,,,,,,,2018,68961070.35,
BALNEARIO GAIVOTA,SC,,,,,,,,,,,,,,2018,4222002.3,
BALNEARIO PINHAL,RS,,,,,,,,,,,,,,2018,4992001.28,
BALNEARIO RINCAO,SC,,,,,,,,,,,,,,2018,10910970.58,
BALSA NOVA,PR,,,,,,,,,,,,,,2018,14332966.75,
BALSAMO,SP,,,,,,,,,,,,,,2018,20627973.72,
BALSAS,MA,,,,,,,,,,,,,,2018,84489384.64,
BAMBUI,MG,,,,,,,,,,,,,,2018,21858693.73,
BANABUIU,CE,,,,,,,,,,,,,,2018,2528820.69,
BANANAL,SP,,,,,,,,,,,,,,2018,10246248.94,
BANANEIRAS,PB,,,,,,,,,,,,,,2018,3434364.42,
BANDEIRA,MG,,,,,,,,,,,,,,2018,308791.67,
BANDEIRA DO SUL,MG,,,,,,,,,,,,,,2018,2500496.4,
BANDEIRANTE,SC,,,,,,,,,,,,,,2018,1072357.5,
BANDEIRANTES,MS,,,,,,,,,,,,,,2018,5285653.41,
BANDEIRANTES,PR,,,,,,,,,,,,,,2018,25732131.97,
BANDEIRANTES DO TOCANTINS,TO,,,,,,,,,,,,,,2018,3130029.89,
BANNACH,PA,,,,,,,,,,,,,,2018,729929.49,
BANZAE,BA,,,,,,,,,,,,,,2018,1349903.81,
BARAO,RS,,,,,,,,,,,,,,2018,17917207.46,
BARAO DE ANTONINA,SP,,,,,,,,,,,,,,2018,705397.93,
BARAO DE COCAIS,MG,,,,,,,,,,,,,,2018,19557763.47,
BARAO DE COTEGIPE,RS,,,,,,,,,,,,,,2018,19229164.38,
BARAO DE GRAJAU,MA,,,,,,,,,,,,,,2018,1982468.23,
BARAO DE MELGACO,MT,,,,,,,,,,,,,,2018,1801294.51,
BARAO DO MONTE ALTO,MG,,,,,,,,,,,,,,2018,668131.41,
BARAO DO TRIUNFO,RS,,,,,,,,,,,,,,2018,1947096.1,
BARAUNA,PB,,,,,,,,,,,,,,2018,991863.65,
BARAUNA,RN,,,,,,,,,,,,,,2018,7228914.8,
BARBACENA,MG,,,,,,,,,,,,,,2018,127206312.57,
BARBALHA,CE,,,,,,,,,,,,,,2018,36666185.75,
BARBOSA,SP,,,,,,,,,,,,,,2018,2048467.69,
BARBOSA FERRAZ,PR,,,,,,,,,,,,,,2018,5364168.22,
BARCARENA,PA,,,,,,,,,,,,,,2018,382416842.23,
BARCELONA,RN,,,,,,,,,,,,,,2018,356231.27,
BARCELOS,AM,,,,,,,,,,,,,,2018,1170658.05,
BARIRI,SP,,,,,,,,,,,,,,2018,76869433.43,
BARRA,BA,,,,,,,,,,,,,,2018,5314124.52,
BARRA BONITA,SC,,,,,,,,,,,,,,2018,397493.69,
BARRA BONITA,SP,,,,,,,,,,,,,,2018,105696559.75,
BARRA D'ALCANTARA,PI,,,,,,,,,,,,,,2018,477901.09,
BARRA DA ESTIVA,BA,,,,,,,,,,,,,,2018,4048709.86,
BARRA DE GUABIRABA,PE,,,,,,,,,,,,,,2018,6406754.05,
BARRA DE SANTA ROSA,PB,,,,,,,,,,,,,,2018,2364273.8,
BARRA DE SANTANA,PB,,,,,,,,,,,,,,2018,380318.31,
BARRA DE SANTO ANTONIO,AL,,,,,,,,,,,,,,2018,1046735.1,
BARRA DE SAO FRANCISCO,ES,,,,,,,,,,,,,,2018,37009756.8,
BARRA DE SAO MIGUEL,AL,,,,,,,,,,,,,,2018,7172755.33,
BARRA DE SAO MIGUEL,PB,,,,,,,,,,,,,,2018,311127.09,
BARRA DO BUGRES,MT,,,,,,,,,,,,,,2018,56124211.67,
BARRA DO CHAPEU,SP,,,,,,,,,,,,,,2018,3929492.72,
BARRA DO CHOCA,BA,,,,,,,,,,,,,,2018,6972356.47,
BARRA DO CORDA,MA,,,,,,,,,,,,,,2018,12130321.49,
BARRA DO GARCAS,MT,,,,,,,,,,,,,,2018,79953141.92,
BARRA DO GUARITA,RS,,,,,,,,,,,,,,2018,589942.53,
BARRA DO JACARE,PR,,,,,,,,,,,,,,2018,652409.25,
BARRA DO MENDES,BA,,,,,,,,,,,,,,2018,1470273.22,
BARRA DO OURO,TO,,,,,,,,,,,,,,2018,726456.84,
BARRA DO PIRAI,RJ,,,,,,,,,,,,,,2018,76528088.52,
BARRA DO QUARAI,RS,,,,,,,,,,,,,,2018,2917224.98,
BARRA DO RIBEIRO,RS,,,,,,,,,,,,,,2018,21366076.09,
BARRA DO RIO AZUL,RS,,,,,,,,,,,,,,2018,665061.04,
BARRA DO ROCHA,BA,,,,,,,,,,,,,,2018,699634.72,
BARRA DO TURVO,SP,,,,,,,,,,,,,,2018,1713914.36,
BARRA DOS COQUEIROS,SE,,,,,,,,,,,,,,2018,52457030.49,
BARRA FUNDA,RS,,,,,,,,,,,,,,2018,7006169.89,
BARRA LONGA,MG,,,,,,,,,,,,,,2018,1360828.94,
BARRA MANSA,RJ,,,,,,,,,,,,,,2018,246583050.2,
BARRA VELHA,SC,,,,,,,,,,,,,,2018,57679577.11,
BARRACAO,PR,,,,,,,,,,,,,,2018,12160213.15,
BARRACAO,RS,,,,,,,,,,,,,,2018,2554419.32,
BARRAS,PI,,,,,,,,,,,,,,2018,4342615.68,
BARREIRA,CE,,,,,,,,,,,,,,2018,3743706.86,
BARREIRAS,BA,,,,,,,,,,,,,,2018,162111751.29,
BARREIRAS DO PIAUI,PI,,,,,,,,,,,,,,2018,280028.25,
BARREIRINHA,AM,,,,,,,,,,,,,,2018,1787340.66,
BARREIRINHAS,MA,,,,,,,,,,,,,,2018,8564964.77,
BARREIROS,PE,,,,,,,,,,,,,,2018,12538857.36,
BARRETOS,SP,,,,,,,,,,,,,,2018,342517398.6,
BARRINHA,SP,,,,,,,,,,,,,,2018,22885639.13,
BARRO,CE,,,,,,,,,,,,,,2018,3007989.85,
BARRO ALTO,BA,,,,,,,,,,,,,,2018,993771.55,
BARRO ALTO,GO,,,,,,,,,,,,,,2018,6073851.66,
BARRO DURO,PI,,,,,,,,,,,,,,2018,583361.8,
BARRO PRETO,BA,,,,,,,,,,,,,,2018,512477.79,
BARROCAS,BA,,,,,,,,,,,,,,2018,10305587.51,
BARROLANDIA,TO,,,,,,,,,,,,,,2018,854032.81,
BARROQUINHA,CE,,,,,,,,,,,,,,2018,2405900.25,
BARROS CASSAL,RS,,,,,,,,,,,,,,2018,2791286.46,
BARROSO,MG,,,,,,,,,,,,,,2018,11327892.54,
BARUERI,SP,,,,,,,,,,,,,,2018,23018836817.34,
BASTOS,SP,,,,,,,,,,,,,,2018,40947142.61,
BATAGUASSU,MS,,,,,,,,,,,,,,2018,30577236.86,
BATALHA,AL,,,,,,,,,,,,,,2018,2197358.59,
BATALHA,PI,,,,,,,,,,,,,,2018,1823468.98,
BATATAIS,SP,,,,,,,,,,,,,,2018,142603426.09,
BATAYPORA,MS,,,,,,,,,,,,,,2018,15735753.18,
BATURITE,CE,,,,,,,,,,,,,,2018,8681957.28,
BAURU,SP,,,,,,,,,,,,,,2018,1206830634.49,
BAYEUX,PB,,,,,,,,,,,,,,2018,41808935.66,
BEBEDOURO,SP,,,,,,,,,,,,,,2018,303246477.17,
BEBERIBE,CE,,,,,,,,,,,,,,2018,14743682.67,
BELA CRUZ,CE,,,,,,,,,,,,,,2018,3793843.86,
BELA VISTA,MS,,,,,,,,,,,,,,2018,16730280.87,
BELA VISTA DA CAROBA,PR,,,,,,,,,,,,,,2018,586754.26,
BELA VISTA DE GOIAS,GO,,,,,,,,,,,,,,2018,22647590.01,
BELA VISTA DE MINAS,MG,,,,,,,,,,,,,,2018,1934964.4,
BELA VISTA DO MARANHAO,MA,,,,,,,,,,,,,,2018,999459.49,
BELA VISTA DO PARAISO,PR,,,,,,,,,,,,,,2018,12932309.78,
BELA VISTA DO PIAUI,PI,,,,,,,,,,,,,,2018,460701.33,
BELA VISTA DO TOLDO,SC,,,,,,,,,,,,,,2018,1122620.32,
BELAGUA,MA,,,,,,,,,,,,,,2018,148451.45,
BELEM,AL,,,,,,,,,,,,,,2018,272279.3,
BELEM,PA,,,,,,,,,,,,,,2018,4901777792.58,
BELEM,PB,,,,,,,,,,,,,,2018,8034301.83,
BELEM DE MARIA,PE,,,,,,,,,,,,,,2018,591291.31,
BELEM DE SAO FRANCISCO,PE,,,,,,,,,,,,,,2018,7884414.49,
BELEM DO BREJO DO CRUZ,PB,,,,,,,,,,,,,,2018,1862282.63,
BELEM DO PIAUI,PI,,,,,,,,,,,,,,2018,337576.04,
BELFORD ROXO,RJ,,,,,,,,,,,,,,2018,179571025.7,
BELMIRO BRAGA,MG,,,,,,,,,,,,,,2018,1336896.18,
BELMONTE,BA,,,,,,,,,,,,,,2018,6392915.42,
BELMONTE,SC,,,,,,,,,,,,,,2018,942484.08,
BELO CAMPO,BA,,,,,,,,,,,,,,2018,2565634.16,
BELO HORIZONTE,MG,,,,,,,,,,,,,,2018,21535146196.48,
BELO JARDIM,PE,,,,,,,,,,,,,,2018,94296093.35,
BELO MONTE,AL,,,,,,,,,,,,,,2018,238416.38,
BELO ORIENTE,MG,,,,,,,,,,,,,,2018,104105610.66,
BELO VALE,MG,,,,,,,,,,,,,,2018,2671814.75,
BELTERRA,PA,,,,,,,,,,,,,,2018,1319923.22,
BENEDITINOS,PI,,,,,,,,,,,,,,2018,843813.53,
BENEDITO LEITE,MA,,,,,,,,,,,,,,2018,424582.57,
BENEDITO NOVO,SC,,,,,,,,,,,,,,2018,20951761.32,
BENEVIDES,PA,,,,,,,,,,,,,,2018,65625107.31,
BENJAMIN CONSTANT,AM,,,,,,,,,,,,,,2018,2838674.86,
BENJAMIN CONSTANT DO SUL,RS,,,,,,,,,,,,,,2018,491453.17,
BENTO DE ABREU,SP,,,,,,,,,,,,,,2018,1765241.23,
BENTO FERNANDES,RN,,,,,,,,,,,,,,2018,392633.41,
BENTO GONCALVES,RS,,,,,,,,,,,,,,2018,811389824.1,
BEQUIMAO,MA,,,,,,,,,,,,,,2018,1741785.1,
BERILO,MG,,,,,,,,,,,,,,2018,3297343.28,
BERIZAL,MG,,,,,,,,,,,,,,2018,1137494.48,
BERNARDINO BATISTA,PB,,,,,,,,,,,,,,2018,219022.83,
BERNARDINO DE CAMPOS,SP,,,,,,,,,,,,,,2018,14680654.43,
BERNARDO DO MEARIM,MA,,,,,,,,,,,,,,2018,480350.79,
BERNARDO SAYAO,TO,,,,,,,,,,,,,,2018,2668000.93,
BERTIOGA,SP,,,,,,,,,,,,,,2018,65659948.48,
BERTOLINIA,PI,,,,,,,,,,,,,,2018,825472.94,
BERTOPOLIS,MG,,,,,,,,,,,,,,2018,216329.73,
BERURI,AM,,,,,,,,,,,,,,2018,1176269.17,
BETANIA,PE,,,,,,,,,,,,,,2018,947221.82,
BETANIA DO PIAUI,PI,,,,,,,,,,,,,,2018,911441.97,
BETIM,MG,,,,,,,,,,,,,,2018,1145725974.62,
BEZERROS,PE,,,,,,,,,,,,,,2018,43216518.4,
BIAS FORTES,MG,,,,,,,,,,,,,,2018,431137.93,
BICAS,MG,,,,,,,,,,,,,,2018,12056674.34,
BIGUACU,SC,,,,,,,,,,,,,,2018,115161104.06,
BILAC,SP,,,,,,,,,,,,,,2018,10534872.72,
BIQUINHAS,MG,,,,,,,,,,,,,,2018,854805.47,
BIRIGUI,SP,,,,,,,,,,,,,,2018,261087209.55,
BIRITIBA-MIRIM,SP,,,,,,,,,,,,,,2018,12469449.14,
BIRITINGA,BA,,,,,,,,,,,,,,2018,1551970.46,
BITURUNA,PR,,,,,,,,,,,,,,2018,13025697.43,
BLUMENAU,SC,,,,,,,,,,,,,,2018,2096434786.92,
BOA ESPERANCA,ES,,,,,,,,,,,,,,2018,5733195.65,
BOA ESPERANCA,MG,,,,,,,,,,,,,,2018,31467292.88,
BOA ESPERANCA,PR,,,,,,,,,,,,,,2018,2637916.58,
BOA ESPERANCA DO IGUACU,PR,,,,,,,,,,,,,,2018,999414.59,
BOA ESPERANCA DO SUL,SP,,,,,,,,,,,,,,2018,13419255.11,
BOA HORA,PI,,,,,,,,,,,,,,2018,304080.72,
BOA NOVA,BA,,,,,,,,,,,,,,2018,1292787.12,
BOA SAUDE,RN,,,,,,,,,,,,,,2018,872987.25,
BOA VENTURA,PB,,,,,,,,,,,,,,2018,447029.58,
BOA VENTURA DE SAO ROQUE,PR,,,,,,,,,,,,,,2018,14338700.72,
BOA VIAGEM,CE,,,,,,,,,,,,,,2018,10239076.04,
BOA VISTA,PB,,,,,,,,,,,,,,2018,2163481.92,
BOA VISTA,RR,,,,,,,,,,,,,,2018,721583565.84,
BOA VISTA DA APARECIDA,PR,,,,,,,,,,,,,,2018,3282579.55,
BOA VISTA DAS MISSOES,RS,,,,,,,,,,,,,,2018,1374595.04,
BOA VISTA DO BURICA,RS,,,,,,,,,,,,,,2018,7616877.01,
BOA VISTA DO CADEADO,RS,,,,,,,,,,,,,,2018,2286212.83,
